filename,mfcc1_delta,mfcc2_delta,mfcc3_delta,mfcc4_delta,mfcc5_delta,mfcc6_delta,mfcc7_delta,mfcc8_delta,mfcc9_delta,mfcc10_delta,mfcc11_delta,mfcc12_delta,mfcc13_delta,mfcc14_delta,mfcc15_delta,mfcc16_delta,mfcc17_delta,mfcc18_delta,mfcc19_delta,mfcc20_delta,genre
pop.00080.au,0.10526470094919205,0.006372061092406511,0.029301423579454422,-0.007363640237599611,0.02929568849503994,0.0328015461564064,0.00916652474552393,-0.024215729907155037,-0.010839004069566727,0.014430866576731205,0.0020313879940658808,-0.009614748880267143,-0.006448940373957157,-0.022792808711528778,-0.029550008475780487,-0.03569836542010307,-0.004061067011207342,0.015403419733047485,0.027763493359088898,0.015784157440066338,pop
pop.00022.au,0.10414846986532211,-0.016983944922685623,0.01399016473442316,0.0013504300732165575,0.002647501416504383,-0.00976172462105751,-0.011099603958427906,0.0014137200778350234,-0.009449983015656471,-0.02145460620522499,-0.016300510615110397,-0.0024297076743096113,-0.005792536772787571,-0.013059990480542183,-0.011171632446348667,0.0022584504913538694,-0.003962519578635693,-0.001441396540030837,-0.0029322796035557985,0.0004300687578506768,pop
pop.00073.au,0.02988269180059433,0.028489211574196815,-0.009955386631190777,0.0022609028965234756,-0.003851620713248849,0.027426499873399734,0.019770607352256775,0.01063829381018877,0.019053949043154716,0.008339137770235538,0.0023888899013400078,0.0067715211771428585,0.004722491838037968,0.002171996980905533,0.008962693624198437,0.01685771718621254,0.007511473260819912,0.007263284642249346,0.006925441324710846,0.013435939326882362,pop
pop.00047.au,-0.018792392686009407,0.01013884600251913,0.014759507961571217,0.006951455492526293,0.015445399098098278,0.017318956553936005,-0.025722261518239975,-0.025268737226724625,-0.01811492256820202,-0.001458988175727427,-0.004116847645491362,-0.0030960619915276766,-0.005069980397820473,-0.003745222231373191,-0.017686568200588226,-0.029551854357123375,0.005382463335990906,0.01081147976219654,0.009574986062943935,0.0019370479276403785,pop
pop.00016.au,0.056776851415634155,0.052818216383457184,-0.01020957250148058,-0.004239193629473448,-0.0016267935279756784,0.034322310239076614,-0.0050062574446201324,0.008209511637687683,-0.00495600700378418,0.0040147630497813225,-0.0028966593090444803,-0.0041037872433662415,0.00018734279728960246,0.011135365813970566,-0.006230498198419809,-0.003321797354146838,0.00422942778095603,-0.003618100890889764,-0.006311266217380762,0.007206117268651724,pop
pop.00006.au,0.09496757388114929,-0.00462736189365387,0.005744178779423237,-0.01009224634617567,0.012551884166896343,-0.002974891569465399,-0.006517382338643074,0.009945377707481384,0.00590647803619504,-0.005630696192383766,-0.010364229790866375,-0.003278696211054921,-0.010545723140239716,0.013937301933765411,0.014227227307856083,0.00654178112745285,0.003266015090048313,0.007920128293335438,0.021270236000418663,-0.004793406464159489,pop
pop.00057.au,0.05731893330812454,-0.012130850926041603,-0.014628688804805279,-0.02143734320998192,0.002062383806332946,-0.009115984663367271,-0.02256215736269951,-0.00453396188095212,-0.005335190333425999,-0.021914834156632423,0.026910118758678436,0.0035046804696321487,-0.005708363838493824,-0.00540786562487483,-0.020569924265146255,-0.0042342557571828365,-0.010323163121938705,-0.006081840023398399,0.020890535786747932,0.008781311102211475,pop
pop.00063.au,-0.030125511810183525,0.01789630763232708,0.010919945314526558,0.025707324966788292,0.01870538294315338,-0.02997368946671486,-0.03375425934791565,0.009268186055123806,0.007275455165654421,0.014459291473031044,-0.003479873528704047,0.006774020381271839,0.004706914536654949,0.00039695051964372396,-0.013007448054850101,0.00771472230553627,0.008365515619516373,9.738910011947155e-05,0.005131961312144995,0.0004865870578214526,pop
pop.00032.au,-0.04620961844921112,0.02330092154443264,-0.02845546044409275,-0.013202892616391182,-0.005033706780523062,-0.008285691030323505,0.018280237913131714,0.01295228861272335,-0.0008683407213538885,-0.0075042154639959335,0.009407165460288525,0.013264412060379982,0.0022175803314894438,-0.0050631058402359486,-0.0034152227453887463,-0.005574954207986593,0.0044808960519731045,0.01090091373771429,0.0002878178784158081,0.002209970960393548,pop
pop.00090.au,0.049098167568445206,-0.01889902539551258,0.001941070193424821,-0.04603659734129906,-0.010917735286056995,-0.0004060196515638381,-0.0133910421282053,-0.015303327701985836,0.0016037113964557648,0.007059451192617416,0.005278354045003653,-0.004402542021125555,-0.006335316225886345,-0.004341414663940668,3.0436445740633644e-05,-0.00401682686060667,0.0032140922266989946,-0.01277234684675932,0.0011893679620698094,0.0067794169299304485,pop
